id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,is_solid_named,target_gender,quota,rank_in_category,selected
22322,Women,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Wildcraft Women Solid Blue Tshirt,True,women,14,1,True
13947,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,United Colors of Benetton Women Solid Blue Tshirts,True,women,14,2,True
21591,Women,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,United Colors of Benetton Women Solid Black Tshirt,True,women,14,3,True
10379,Women,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,United Colors of Benetton Women Solid Red T-shirt,True,women,14,4,True
24849,Women,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Flying Machine Women Black Solid Tshirt,True,women,14,5,True
14103,Women,Apparel,Topwear,Tshirts,Cream,Fall,2011.0,Casual,Flying Machine Women Solid Cream Tops,True,women,14,6,True
10343,Women,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Women Solid Blue Tshirts,True,women,14,7,True
11784,Women,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Lee Women Solid Black Tshirts,True,women,14,8,True
19670,Women,Apparel,Topwear,Tshirts,Olive,Summer,2011.0,Casual,United Colors of Benetton Women Solid Olive T-shirt,True,women,14,9,True
22321,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Wildcraft Women Solid White Tshirt,True,women,14,10,True
19555,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,United Colors of Benetton Women Solid Blue Polo Tshirt,True,women,14,11,True
10414,Women,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,United Colors of Benetton Women Solid Purple T-shirt,True,women,14,12,True
14074,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Flying Machine Women Solid White Polo Tshirts,True,women,14,13,True
11750,Women,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Lee Women Solid Black Tshirts,True,women,14,14,True
19556,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,United Colors of Benetton Women Solid White Polo Tshirt,True,women,14,15,False
12346,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Formal,Reebok Women Grey Solid V-Neck T-shirt,True,women,14,16,False
10374,Women,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,United Colors of Benetton Women Solid Green T-shirt,True,women,14,17,False
11785,Women,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Lee Women Solid Black Tshirts,True,women,14,18,False
19669,Women,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,United Colors of Benetton Women Solid Black Tshirt,True,women,14,19,False
19557,Women,Apparel,Topwear,Tshirts,Olive,Summer,2011.0,Casual,United Colors of Benetton Women Solid Olive T-shirt,True,women,14,20,False
19612,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,United Colors of Benetton Women Solid Blue Tshirt,True,women,14,21,False
27430,Women,Apparel,Topwear,Tshirts,Grey Melange,Summer,2018.0,Casual,Jockey Women Grey Melange T-shirt 1359,False,women,14,22,False
57427,Women,Apparel,Topwear,Tshirts,Green,Summer,2015.0,Casual,Angry Birds Women Green T-shirt,False,women,14,23,False
27431,Women,Apparel,Topwear,Tshirts,Pink,Winter,2015.0,Casual,Jockey Women Pink T-shirt,False,women,14,24,False
