id,status,band,coverage,fallback,size,gender,articleType
22322,ok,0.0,0.17,False,577x884,women,Tshirts
44587,ok,1.0,0.23,False,516x1178,men,Jeans
20227,ok,0.0,0.215,False,1019x1936,women,Sweaters
14197,ok,2.0,0.219,False,870x1751,women,Dresses
12532,ok,0.0,0.278,False,1588x2049,women,Jackets
19786,ok,0.0,0.216,False,1147x1642,men,Polo
18713,ok,2.0,0.156,False,731x1303,women,Skirts
10408,ok,0.0,0.208,False,1100x1546,women,Tops
11318,ok,1.0,0.223,False,922x1966,women,Jeans
19734,ok,0.0,0.277,False,1375x2124,women,Shirts
27424,ok,1.0,0.16,False,580x694,women,Shorts
48099,ok,1.0,0.206,False,490x1074,women,Trousers
57141,ok,1.0,0.169,False,473x1067,women,Trousers
21162,ok,0.0,0.276,False,1560x1755,women,Sweaters
10366,ok,2.0,0.231,False,1185x1369,women,Skirts
27426,ok,1.0,0.142,False,493x680,women,Shorts
9144,ok,1.0,0.246,False,966x2116,women,Jeans
10429,ok,0.0,0.171,False,462x830,women,Tops
13472,ok,2.0,0.149,False,720x1247,women,Dresses
13449,ok,0.0,0.229,False,1100x1734,women,Shirts
13947,ok,0.0,0.204,False,1014x1823,women,Tshirts
21591,ok,,0.408,True,1169x2374,women,Tshirts
9148,ok,1.0,0.242,False,1118x2144,women,Jeans
13956,ok,0.0,0.229,False,1063x1668,women,Tops
43656,ok,1.0,0.109,False,495x514,women,Shorts
18712,ok,2.0,0.156,False,762x1266,women,Skirts
18959,ok,0.0,0.237,False,1098x1370,women,Sweaters
32405,ok,1.0,0.209,False,510x1176,women,Trousers
18897,ok,2.0,0.258,False,996x1816,women,Dresses
19727,ok,0.0,0.307,False,1183x1798,women,Shirts
34492,ok,2.0,0.142,False,441x746,women,Skirts
27922,ok,1.0,0.227,False,487x1227,women,Trousers
10379,ok,0.0,0.228,False,1250x1489,women,Tshirts
50944,ok,1.0,0.176,False,467x1099,women,Jeans
13457,ok,0.0,0.3,False,1103x1754,women,Shirts
18896,ok,2.0,0.261,False,1021x1791,women,Dresses
20300,ok,0.0,0.255,False,1157x1699,women,Sweaters
14095,ok,0.0,0.3,False,1241x1739,women,Tops
43309,ok,1.0,0.097,False,545x491,women,Shorts
19736,ok,0.0,0.305,False,1520x2033,women,Shirts
50961,ok,1.0,0.183,False,521x1086,women,Jeans
10363,ok,0.0,0.266,False,1086x1589,women,Tops
24849,ok,0.0,0.214,False,1121x1818,women,Tshirts
13961,ok,0.0,0.336,False,1356x2248,women,Sweaters
57087,ok,2.0,0.089,False,614x549,women,Skirts
44664,ok,1.0,0.204,False,443x1181,women,Trousers
13470,ok,2.0,0.139,False,818x1175,women,Dresses
32587,ok,1.0,0.183,False,518x822,women,Shorts
18898,ok,0.0,0.179,False,1143x1235,women,Shirts
47658,ok,2.0,0.132,False,549x622,women,Skirts
9149,ok,1.0,0.261,False,1179x2153,women,Jeans
57216,ok,1.0,0.063,False,508x344,women,Shorts
32586,ok,1.0,0.292,False,647x1189,women,Trousers
16990,ok,0.0,0.305,False,1567x1784,women,Sweaters
14103,ok,0.0,0.186,False,960x1633,women,Tshirts
20637,ok,2.0,0.202,False,883x1787,women,Dresses
19636,ok,0.0,0.297,False,1164x1749,women,Tops
19624,ok,0.0,0.264,False,1471x1464,women,Tops
41153,ok,2.0,0.134,False,437x688,women,Skirts
10406,ok,2.0,0.119,False,701x1278,women,Dresses
57139,ok,1.0,0.21,False,544x1195,women,Trousers
20309,ok,0.0,0.208,False,1075x1380,women,Sweaters
13448,ok,0.0,0.237,False,1124x1821,women,Shirts
10343,ok,0.0,0.231,False,1158x1712,women,Tshirts
26985,ok,2.0,0.147,False,813x1077,women,Shorts
50947,ok,1.0,0.179,False,484x1050,women,Jeans
43310,ok,1.0,0.052,False,538x295,women,Shorts
20347,ok,0.0,0.351,False,1239x2208,women,Sweaters
9145,ok,1.0,0.178,False,1125x2001,women,Jeans
32407,ok,1.0,0.211,False,776x2032,women,Trousers
19577,ok,0.0,0.143,False,843x1436,women,Tops
26364,ok,2.0,0.146,False,727x1250,women,Skirts
59996,ok,2.0,0.223,False,582x1044,women,Dresses
13450,ok,0.0,0.241,False,1115x1661,women,Shirts
11784,ok,0.0,0.235,False,644x843,women,Tshirts
48084,ok,2.0,0.232,False,622x680,women,Dresses
19670,ok,0.0,0.183,False,1037x1683,women,Tshirts
13458,ok,0.0,0.261,False,1203x2323,women,Shirts
57082,ok,2.0,0.105,False,470x544,women,Skirts
13521,ok,0.0,0.183,False,1046x1561,women,Tops
50942,ok,1.0,0.22,False,528x1174,women,Jeans
22321,ok,0.0,0.175,False,967x1558,women,Tshirts
58489,ok,2.0,0.128,False,568x620,women,Dresses
11338,ok,0.0,0.194,False,1032x1823,women,Tops
50963,ok,1.0,0.179,False,547x1103,women,Jeans
