customer_id,height_cm,chest_cm,waist_cm,hip_cm,category,size_label
synth_m_000,161.0,95.4,78.6,95.4,shorts,M
synth_m_001,167.1,107.7,101.4,105.9,shorts,XXL
synth_m_002,163.0,97.8,81.1,96.6,jacket,M
synth_m_003,174.8,95.8,80.5,91.3,polo,S
synth_m_004,161.5,95.2,79.5,92.2,polo,S
synth_m_005,164.7,99.7,83.6,94.6,jeans,M
synth_m_006,167.4,99.3,85.0,98.0,shorts,L
synth_m_007,168.8,98.5,75.9,88.9,shorts,S
synth_m_008,164.8,100.3,85.0,100.7,polo,M
synth_m_009,164.2,93.5,84.2,98.7,shorts,L
synth_m_010,169.5,88.4,75.1,91.8,shorts,S
synth_m_011,168.9,96.8,79.1,93.8,polo,S
synth_m_012,166.4,91.7,74.6,92.4,jeans,S
synth_m_013,171.6,102.8,96.8,102.4,shorts,XL
synth_m_014,177.9,94.5,81.0,99.5,shorts,M
synth_m_015,171.5,106.3,95.7,106.3,tshirt,L
synth_m_016,171.2,89.4,75.8,89.7,jacket,S
synth_m_017,165.8,85.6,78.7,88.5,polo,XS
synth_m_018,173.8,101.4,87.5,101.8,tshirt,M
synth_m_019,170.5,99.5,85.2,95.9,polo,M
synth_m_020,163.6,90.9,80.4,92.1,tshirt,S
synth_m_021,175.2,101.3,91.9,102.3,jacket,M
synth_m_022,169.3,93.9,76.5,91.0,jacket,S
synth_m_023,170.7,92.5,90.5,95.6,shorts,L
synth_m_024,167.0,104.4,96.2,100.3,jeans,XL
synth_m_025,177.0,96.6,82.0,99.0,polo,S
synth_m_026,170.8,98.1,92.1,100.7,polo,M
synth_m_027,155.8,90.9,76.9,91.1,polo,S
synth_m_028,162.2,98.8,90.5,97.6,tshirt,M
synth_m_029,167.2,98.1,78.5,91.2,jacket,M
synth_m_030,172.1,102.5,87.7,104.2,shorts,L
synth_m_031,167.7,93.7,74.7,85.1,tshirt,S
synth_m_032,165.9,97.6,92.1,95.9,shorts,XL
synth_m_033,166.3,86.5,80.6,90.4,jeans,M
synth_m_034,170.3,99.5,70.0,98.3,jacket,M
synth_m_035,162.5,86.2,82.3,96.2,shorts,M
synth_m_036,169.0,98.4,90.7,100.2,polo,M
synth_m_037,166.6,87.5,74.7,86.2,jacket,XS
synth_m_038,170.3,105.9,94.0,109.7,jeans,XL
synth_m_039,174.4,92.5,82.0,91.2,tshirt,S
synth_m_040,166.6,107.1,90.4,96.3,jeans,L
synth_m_041,160.2,92.4,74.6,90.5,jacket,S
synth_m_042,168.9,94.2,83.4,97.9,shorts,M
synth_m_043,163.5,94.2,89.3,100.1,jacket,S
synth_m_044,164.5,84.7,67.8,86.7,tshirt,XS
synth_m_045,165.5,85.7,68.9,90.8,tshirt,XS
synth_m_046,176.3,92.6,77.7,88.3,tshirt,S
synth_m_047,181.4,108.7,89.0,99.7,tshirt,L
synth_m_048,178.8,94.0,85.7,95.4,jeans,L
synth_m_049,164.3,90.8,77.5,91.0,jeans,M
synth_m_050,175.2,93.3,75.4,94.0,jeans,S
synth_m_051,175.4,105.3,102.9,104.6,polo,L
synth_m_052,169.3,103.0,91.4,95.7,tshirt,M
synth_m_053,165.5,94.1,81.1,98.1,shorts,M
synth_m_054,174.8,91.0,76.5,89.6,shorts,M
